id	wikidata	wiki_person	wiki_geburtsdatum	wiki_todesdatum	wiki_wohnort	wiki_beruf	wiki_url
17095218	checked						
17095220	checked						
17095225	checked						
17095232	checked						
17095237	checked						
17095244	checked						
17095249	checked						
17095251	checked						
17095256	checked						
17095263	checked						
17095268	checked						
17095270	checked						
17095275	checked						
17095282	checked						
17095287	checked						
17095294	checked						
17095299	checked						
17095302	checked						
17095307	checked						
17095314	checked						
17095319	checked						
17095321	checked						
17095326	checked						
17170279	checked						
17170281	checked						
17095333	checked						
17095338	checked						
17095340	checked						
17095345	checked						
17095352	checked						
17169614	checked						
17094176	checked						
17094183	checked						
17094188	checked						
17094190	checked						
17094195	checked						
17094203	checked						
17094208	checked						
17094210	checked						
17094215	checked						
17094222	checked						
17094227	checked						
17094234	checked						
17094239	checked						
17094241	checked						
17094246	checked						
17094253	checked						
17094258	checked						
17094260	checked						
17094265	checked						
17094272	checked						
17094277	checked						
17166711	checked						
17094284	checked						
17094289	checked						
17094291	checked						
17094296	checked						
17094304	checked						
17094309	checked						
17094311	checked						
17094316	checked						
17166898	checked						
17094323	checked						
17094328	checked						
17094330	checked						
17094335	checked						
17094342	checked						
17094347	checked						
17094354	checked						
17094359	checked						
17094361	checked						
17094366	checked						
17094373	checked						
17094378	checked						
17094380	checked						
17094385	checked						
17094392	checked						
17094397	checked						
17094400	checked						
17094405	checked						
17094412	checked						
17094417	checked						
17094424	checked						
17094429	checked						
17167271	checked						
17094431	checked						
17094436	checked						
17094443	checked						
17094448	checked						
17094450	checked						
17094455	checked						
17094462	checked						
17167257	checked						
17167264	checked						
17094467	checked						
17094474	checked						
17094479	checked						
17094481	checked						
17094486	checked						
17094493	checked						
17094498	checked						
17094501	checked						
17094506	checked						
17094513	checked						
17094518	checked						
17094520	checked						
17094525	checked						
17167512	checked						
17094532	checked						
17094537	checked						
17094544	checked						
17094549	checked						
17094551	checked						
17094556	checked						
17167459	checked						
17093882	checked						
17093887	checked						
17093894	checked						
17093899	checked						
17093902	checked						
17093907	checked						
17093914	checked						
17093919	checked						
17093921	checked						
17093926	checked						
17093933	checked						
17093938	checked						
17093940	checked						
17093945	checked						
17093952	checked						
17165237	checked						
17093957	checked						
17093964	checked						
17093969	checked						
17093971	checked						
17093976	checked						
17093983	checked						
17093988	checked						
17164354	checked						
17164359	checked						
17093990	checked						
17093995	checked						
17094001	checked						
17094006	checked						
17094013	checked						
17094018	checked						
17094020	checked						
17164619	checked						
17094025	checked						
17094032	checked						
17094037	checked						
17094044	checked						
17094049	checked						
17094051	checked						
17094056	checked						
17094063	checked						
17094068	checked						
17094070	checked						
17094075	checked						
17094082	checked						
17094087	checked						
17094094	checked						
17094102	checked						
17094107	checked						
17094114	checked						
17094119	checked						
17094121	checked						
17094126	checked						
17094133	checked						
17094138	checked						
17165698	checked						
17094140	checked						
17166292	checked						
17166305	checked						
17166317	checked						
17166348	checked						
17166350	checked						
17166603	checked						
17166608	checked						
17166622	checked						
17166639	checked						
17166766	checked						
17166785	checked						
17166792	checked						
17094145	checked						
17094152	checked						
17094157	checked						
17094164	checked						
17094169	checked						
17094171	checked						
17131295	checked						
17131310	checked						
17131315	checked						
17131334	checked						
17094563	checked						
17094568	checked						
17094570	checked						
17094575	checked						
17094582	checked						
17094587	checked						
17094594	checked						
17094599	checked						
17094602	checked						
17094607	checked						
17094614	checked						
17094619	checked						
17094621	checked						
17094626	checked						
17094633	checked						
17094638	checked						
17094640	checked						
17094645	checked						
17094652	checked						
17094657	checked						
17094664	checked						
17094669	checked						
17094671	checked						
17094676	checked						
17168394	checked						
17094683	checked						
17094688	checked						
17094690	checked						
17094695	checked						
17094703	checked						
17094708	checked						
17094710	checked						
17168457	checked						
17094715	checked						
17094722	checked						
17094727	checked						
17094734	checked						
17094739	checked						
17094741	checked						
17168508	checked						
17094746	checked						
17094753	checked						
17094758	checked						
17094760	checked						
17094765	checked						
17094772	checked						
17094777	checked						
17094784	checked						
17094789	checked						
17094791	checked						
17094796	checked						
17094804	checked						
17094809	checked						
17094811	checked						
17094816	checked						
17094823	checked						
17168736	checked						
17094828	checked						
17094830	checked						
17094835	checked						
17094842	checked						
17094847	checked						
17094854	checked						
17094859	checked						
17094861	checked						
17094866	checked						
17094873	checked						
17094878	checked						
17094880	checked						
17094885	checked						
17094892	checked						
17094897	checked						
17094900	checked						
17094905	checked						
17094912	checked						
17094917	checked						
17094924	checked						
17094929	checked						
17094931	checked						
17094936	checked						
17094943	checked						
17094948	checked						
17094950	checked						
17093596	checked						
17093604	checked						
17093609	checked						
17093611	checked						
17093616	checked						
17093623	checked						
17093628	checked						
17093630	checked						
17164183	checked						
17093635	checked						
17093642	checked						
17093647	checked						
17093654	checked						
17093659	checked						
17093661	checked						
17093666	checked						
17093673	checked						
17093678	checked						
17093680	checked						
17093685	checked						
17093692	checked						
17093697	checked						
17093700	checked						
17093705	checked						
17093712	checked						
17093717	checked						
17093724	checked						
17093729	checked						
17093731	checked						
17093736	checked						
17093743	checked						
17093748	checked						
17093750	checked						
17093755	checked						
17093762	checked						
17093767	checked						
17093774	checked						
17093779	checked						
17093781	checked						
17093786	checked						
17093793	checked						
17093798	checked						
17093801	checked						
17093806	checked						
17165927	checked						
17093813	checked						
17093818	checked						
17093820	checked						
17093825	checked						
17093832	checked						
17093837	checked						
17093844	checked						
17093849	checked						
17093851	checked						
17093856	checked						
17093863	checked						
17093868	checked						
17093870	checked						
17093875	checked						
17168414	checked						
17158023	checked						
17158028	checked						
17093351	checked						
17093356	checked						
17093363	checked						
17093368	checked						
17093370	checked						
17093375	checked						
17093382	checked						
17158080	checked						
17164392	checked						
17164397	checked						
17093387	checked						
17093394	checked						
17093399	checked						
17093402	checked						
17093407	checked						
17093414	checked						
17093419	checked						
17093421	checked						
17166709	checked						
17166716	checked						
17166913	checked						
17093426	checked						
17093433	checked						
17093438	checked						
17093440	checked						
17093445	checked						
17093452	checked						
17093457	checked						
17093464	checked						
17093469	checked						
17093471	checked						
17093476	checked						
17093483	checked						
17093488	checked						
17093490	checked						
17093495	checked						
17168332	checked						
17093503	checked						
17093508	checked						
17093510	checked						
17093515	checked						
17093522	checked						
17093527	checked						
17164013	checked						
17093534	checked						
17093539	checked						
17093541	checked						
17093546	checked						
17093553	checked						
17093558	checked						
17093560	checked						
17093565	checked						
17093572	checked						
17093577	checked						
17093584	checked						
17093589	checked						
17093591	checked						
17092815	checked						
17092822	checked						
17092827	checked						
17092834	checked						
17092839	checked						
17092841	checked						
17161761	checked						
17161773	checked						
17161785	checked						
17092846	checked						
17092853	checked						
17092858	checked						
17092860	checked						
17092865	checked						
17092872	checked						
17161812	checked						
17161817	checked						
17092877	checked						
17092884	checked						
17092889	checked						
17092891	checked						
17092896	checked						
17092904	checked						
17092909	checked						
17092911	checked						
17092916	checked						
17092923	checked						
17092928	checked						
17092930	checked						
17092935	checked						
17092942	checked						
17170250	checked						
17092947	checked						
17092954	checked						
17092959	checked						
17092961	checked						
17092966	checked						
17092973	checked						
17092978	checked						
17092980	checked						
17092985	checked						
17092992	checked						
17092997	checked						
17093003	checked						
17093008	checked						
17093010	checked						
17136827	checked						
17093015	checked						
17093022	checked						
17093027	checked						
17093034	checked						
17093039	checked						
17093041	checked						
17093046	checked						
17093053	checked						
17093058	checked						
17093060	checked						
17093065	checked						
17093072	checked						
17093077	checked						
17093084	checked						
17093089	checked						
17136764	checked						
17093091	checked						
17093104	checked						
17093109	checked						
17093111	checked						
17093116	checked						
17140506	checked						
17093123	checked						
17093128	checked						
17093130	checked						
17093135	checked						
17093142	checked						
17093147	checked						
17141097	checked						
17093154	checked						
17093159	checked						
17093161	checked						
17093166	checked						
17093173	checked						
17093178	checked						
17093180	checked						
17142273	checked						
17093185	checked						
17093192	checked						
17093197	checked						
17093200	checked						
17093205	checked						
17093212	checked						
17161850	checked						
17163161	checked						
17163173	checked						
17093217	checked						
17093224	checked						
17093229	checked						
17093231	checked						
17093236	checked						
17093243	checked						
17093248	checked						
17093250	checked						
17147305	checked						
17093255	checked						
17093262	checked						
17093267	checked						
17093274	checked						
17093279	checked						
17093281	checked						
17093286	checked						
17147406	checked						
17093293	checked						
17093298	checked						
17093301	checked						
17093306	checked						
17093313	checked						
17093318	checked						
17093320	checked						
17147468	checked						
17147482	checked						
17093325	checked						
17093332	checked						
17093337	checked						
17093344	checked						
17093349	checked						
17092562	checked						
17092567	checked						
17092574	checked						
17092581	checked						
17092586	checked						
17092593	checked						
17161115	checked						
17161122	checked						
17092598	checked						
17092601	checked						
17092606	checked						
17092613	checked						
17092618	checked						
17092620	checked						
17092625	checked						
17092632	checked						
17092637	checked						
17092644	checked						
17092649	checked						
17092651	checked						
17169265	checked						
17169328	checked						
17092663	checked						
17092668	checked						
17092670	checked						
17092675	checked						
17092682	checked						
17161305	checked						
17092687	checked						
17092694	checked						
17092699	checked						
17092702	checked						
17092707	checked						
17092714	checked						
17162947	checked						
17092719	checked						
17092721	checked						
17092726	checked						
17092733	checked						
17092738	checked						
17092740	checked						
17092745	checked						
17092752	checked						
17092757	checked						
17092764	checked						
17092769	checked						
17092771	checked						
17161716	checked						
17161730	checked						
17092776	checked						
17092783	checked						
17092788	checked						
17092790	checked						
17092795	checked						
17092803	checked						
17092808	checked						
17092810	checked						
17099847	checked						
17099854	checked						
17099859	checked						
17099861	checked						
17099866	checked						
17099873	checked						
17099878	checked						
17099880	checked						
17099885	checked						
17099892	checked						
17099897	checked						
17099900	checked						
17099905	checked						
17175229	checked						
17175231	checked						
17175236	checked						
17175243	checked						
17099912	checked						
17099917	checked						
17099924	checked						
17099929	checked						
17099931	checked						
17175255	checked						
17175262	checked						
17099936	checked						
17099943	checked						
17099948	checked						
17099950	checked						
17099955	checked						
17099962	checked						
17099967	checked						
17099974	checked						
17099979	checked						
17099981	checked						
17099986	checked						
17175281	checked						
17175286	checked						
17099993	checked						
17099998	checked						
17100000	checked						
17100005	checked						
17100012	checked						
17100017	checked						
17100024	checked						
17100029	checked						
17100031	checked						
17100036	checked						
17175293	checked						
17175306	checked						
17100043	checked						
17100048	checked						
17100050	checked						
17100055	checked						
17175793	checked						
17100062	checked						
17100067	checked						
17100074	checked						
17175844	checked						
17175849	checked						
17100079	checked						
17100081	checked						
17100086	checked						
17100093	checked						
17100098	checked						
17100101	checked						
17175875	checked						
17175964	checked						
17175971	checked						
17100106	checked						
17100113	checked						
17100118	checked						
17100120	checked						
17100125	checked						
17100132	checked						
17176051	checked						
17100137	checked						
17100144	checked						
17100149	checked						
17100151	checked						
17100156	checked						
17100163	checked						
17100168	checked						
17100170	checked						
17100175	checked						
17100182	checked						
17100187	checked						
17100194	checked						
17100199	checked						
17100202	checked						
17100207	checked						
17100214	checked						
17179625	checked						
17100219	checked						
17100221	checked						
17100226	checked						
17100233	checked						
17100238	checked						
17100240	checked						
17100245	checked						
17176323	checked						
17176335	checked						
17100252	checked						
17100257	checked						
17100264	checked						
17100269	checked						
17100271	checked						
17100276	checked						
17176450	checked						
17176462	checked						
17176474	checked						
17100283	checked						
17100288	checked						
17100290	checked						
17100295	checked						
17172232	checked						
17172237	checked						
17100303	checked						
17100308	checked						
17100310	checked						
17100315	checked						
17100322	checked						
17100327	checked						
17100334	checked						
17100339	checked						
17100341	checked						
17100346	checked						
17100353	checked						
17100358	checked						
17100360	checked						
17100365	checked						
17100372	checked						
17100377	checked						
17100384	checked						
17100389	checked						
17100391	checked						
17100396	checked						
17100404	checked						
17176568	checked						
17100409	checked						
17100411	checked						
17100416	checked						
17100423	checked						
17100428	checked						
17100430	checked						
17100435	checked						
17100442	checked						
17176614	checked						
17100447	checked						
17100454	checked						
17100459	checked						
17100461	checked						
17100466	checked						
17100473	checked						
17100478	checked						
17100480	checked						
17100485	checked						
17100492	checked						
17100497	checked						
17100500	checked						
17100505	checked						
17176690	checked						
17100512	checked						
17100517	checked						
17100524	checked						
17100529	checked						
17100531	checked						
17100536	checked						
17100543	checked						
17100548	checked						
17100550	checked						
17100555	checked						
17100562	checked						
17100567	checked						
17100574	checked						
17176892	checked						
17100579	checked						
17100581	checked						
17100586	checked						
17100593	checked						
17100598	checked						
17100601	checked						
17176943	checked						
17176950	checked						
17100606	checked						
17100613	checked						
17100618	checked						
17100620	checked						
17100625	checked						
17100632	checked						
17100637	checked						
17100644	checked						
17100649	checked						
17100651	checked						
17100656	checked						
17100663	checked						
17100668	checked						
17100670	checked						
17177340	checked						
17177364	checked						
17177371	checked						
17177383	checked						
17100675	checked						
17100682	checked						
17100687	checked						
17100694	checked						
17100699	checked						
17100702	checked						
17100707	checked						
17100714	checked						
17100719	checked						
17100721	checked						
17100726	checked						
17100733	checked						
17100738	checked						
17100740	checked						
17100745	checked						
17100752	checked						
17100757	checked						
17100764	checked						
17100769	checked						
17100771	checked						
17100776	checked						
17100783	checked						
17100788	checked						
17177460	checked						
17100790	checked						
17100795	checked						
17100803	checked						
17100808	checked						
17100810	checked						
17100815	checked						
17100822	checked						
17100827	checked						
17100834	checked						
17100839	checked						
17100841	checked						
17100846	checked						
17100853	checked						
17100858	checked						
17100860	checked						
17100865	checked						
17177542	checked						
17100872	checked						
17100877	checked						
17100884	checked						
17100889	checked						
17100891	checked						
17100896	checked						
17099474	checked						
17099479	checked						
17099481	checked						
17099486	checked						
17099493	checked						
17099498	checked						
17179473	checked						
17099501	checked						
17099506	checked						
17099513	checked						
17099518	checked						
17099520	checked						
17099525	checked						
17099532	checked						
17099537	checked						
17099544	checked						
17099549	checked						
17099551	checked						
17099556	checked						
17099563	checked						
17099568	checked						
17099570	checked						
17099575	checked						
17099582	checked						
17099587	checked						
17099594	checked						
17099599	checked						
17173482	checked						
17099602	checked						
17099607	checked						
17099614	checked						
17099619	checked						
17099621	checked						
17099626	checked						
17099633	checked						
17099638	checked						
17099640	checked						
17099645	checked						
17099652	checked						
17099657	checked						
17099664	checked						
17099669	checked						
17099671	checked						
17173658	checked						
17173660	checked						
17099676	checked						
17099683	checked						
17099688	checked						
17099690	checked						
17099695	checked						
17099703	checked						
17099708	checked						
17099710	checked						
17099715	checked						
17099722	checked						
17099727	checked						
17099734	checked						
17173754	checked						
17099739	checked						
17099741	checked						
17099746	checked						
17099753	checked						
17099758	checked						
17099760	checked						
17099765	checked						
17099772	checked						
17099777	checked						
17099784	checked						
17099789	checked						
17099791	checked						
17099796	checked						
17099804	checked						
17099809	checked						
17099811	checked						
17099816	checked						
17099823	checked						
17099828	checked						
17099830	checked						
